source_row,measure_id,measure_name,scenario_membership,current_status,representation_mechanism,implementation_file,evidence_found,remaining_action,required_evidence_or_assumption,validation_method,double_counting_risk,priority
5,XLSX_ROW_05,Autonomous public transport,Fast Track,intentionally not modelled,documentation only,original-input-data/mvv_gtfs_2037/Infrastructure_measures.xlsx,"No automation attribute, autonomous vehicle type, or explicit service increment is defined.",Retain as an excluded technology narrative unless a quantified service change is approved.,Evidence would need a route-specific frequency travel-time capacity or cost effect; automation itself is outside MATSim passenger assignment.,Confirm no scenario-specific vehicle or schedule rule and document exclusion.,none,exclude
6,XLSX_ROW_06,Pedestrian zones,Fast Track,still required,car network,None,"BAU and Fast Track use the same road component; no Herzog-Wilhelm-Straße or Kreuzstraße closure is documented.",Decide whether to encode verified car-link closures or exclude the measure because pedestrian amenity is not represented.,Authoritative geometry implementation date access rules and treatment of deliveries; no assumed scoring benefit.,Compare identified car-link modes and route continuity before and after a separately approved network edit.,none,medium
7,XLSX_ROW_07,Mobility hubs,Fast Track,still required,facilities,None,"No facilities file is configured and no hub inventory or access-time rule exists.",Define named hubs and measurable functions or explicitly exclude the measure.,Authoritative hub locations and a defensible parking transfer or access mechanism that affects represented modes.,Load facilities and route controlled hub-access journeys; check mode availability and transfer costs.,possible if new activities are added without relocating existing ones,low
8,XLSX_ROW_08,Munich North cycle express route,Fast Track,intentionally not modelled,documentation only,original-input-data/mvv_gtfs_2037/Infrastructure_measures.xlsx,"The matrix itself records that bicycle routing is not link-based in the current setup; QSim main mode remains car.",Exclude from the main comparison unless a calibrated bicycle-network and routing module is introduced.,Official alignment and a project-wide calibrated bicycle representation would be required.,Document exclusion; if later implemented compare bicycle connectivity and travel times.,none,exclude
9,XLSX_ROW_09,Eleven park corridors,Fast Track,intentionally not modelled,documentation only,original-input-data/mvv_gtfs_2037/Infrastructure_measures.xlsx,"Amenity biodiversity and public-space quality are outside the current network and utility representation.",Exclude from quantified MATSim effects and retain as contextual policy information.,A separate land-use or pedestrian-accessibility method would be required; arbitrary scoring changes are not acceptable.,Methodological exclusion check only.,none,exclude
10,XLSX_ROW_10,U26,Neither,intentionally not modelled,documentation only,original-input-data/mvv_gtfs_2037/Infrastructure_measures.xlsx,"The matrix excludes the measure from BAU and Fast Track and no U26 route exists.",None unless scenario membership changes.,A revised scenario decision and an evidenced alignment and timetable would be required.,Assert absence from both transit schedules.,none,exclude
11,XLSX_ROW_11,U1 South extension,Neither,intentionally not modelled,documentation only,original-input-data/mvv_gtfs_2037/Infrastructure_measures.xlsx,"The matrix excludes the measure from BAU and Fast Track.",None unless scenario membership changes.,A revised scenario decision and an evidenced alignment and timetable would be required.,Assert no scenario-specific extension beyond the baseline U1 pattern.,none,exclude
12,XLSX_ROW_12,U1 North extension,Neither,intentionally not modelled,documentation only,original-input-data/mvv_gtfs_2037/Infrastructure_measures.xlsx,"The matrix excludes the measure from BAU and Fast Track.",None unless scenario membership changes.,A revised scenario decision and an evidenced alignment and timetable would be required.,Assert no scenario-specific extension beyond the baseline U1 pattern.,none,exclude
13,XLSX_ROW_13,Poccistraße regional-rail stop,BAU and Fast Track,implemented and tested,GTFS/transit schedule,original-input-data/mvv_gtfs_2037/common_service_specification.csv,"Dedicated rail-platform records are inserted in 234 matching regional trips while existing bus and U-Bahn platforms remain distinct.",Retain and include in the later scenario smoke test.,"Excel row 13 supplies the six route IDs; parent 106206 is an explicit scenario-assumption coordinate proxy; 2934 positive current-GTFS observations support 60 seconds dwell; no separate braking penalty is identifiable.",Rebuild both feeds; validate references monotone times exact affected-trip counts MATSim read-back and routed 180-second regional-to-U3/U6 transfer.,none,complete
14,XLSX_ROW_14,S-Bahn Nordring,Fast Track,implemented and tested,GTFS/transit schedule,original-input-data/mvv_gtfs_2037/generated/gtfs2037_munich_fast_track.zip,"FT_NR_A and FT_NR_B each contain 80 departures and passed GTFS MATSim reference routing and smoke validation.",Retain; conduct the documented 60-second dwell sensitivity later.,Approved scenario timetable and proxy station decisions are already documented.,Validate counts stop patterns references complete-line routes and later sensitivity results.,none,complete
15,XLSX_ROW_15,Four-track Daglfing-Johanneskirchen,Fast Track,partially or indirectly represented,documentation only,original-input-data/mvv_gtfs_2037/fast_track_service_specification.csv,"Documented only as an enabling condition for the Nordring; S8 remains unchanged and physical capacity is absent.",Retain this limited interpretation or implement rail-capacity modelling outside GTFS if operational interaction becomes analytically necessary.,Capacity signalling freight separation and operational timetable evidence would be needed for physical modelling.,Confirm unchanged S8 and presence of Nordring; document that capacity effects are not simulated.,none,medium
16,XLSX_ROW_16,Second S-Bahn trunk line,BAU and Fast Track,implemented and tested,GTFS/transit schedule,original-input-data/mvv_gtfs_2037/generated/gtfs2037_munich_clean.zip,"Forecast rail patterns explicitly serve München Hbf tief 2. Stammstrecke Marienplatz Marienhof and Ostbahnhof 2. Stammstrecke; both MATSim schedules load and route successfully.",Retain and add a measure-specific route regression test when the BAU feed is next rebuilt.,The supplied forecast timetable is treated as the operational representation; tunnel capacity itself is not simulated.,Assert trunk stop sequence on representative S18X S23X and S24X routes and run representative routing.,none,complete
17,XLSX_ROW_17,Grade-separated Munich-Westkreuz junction,BAU and Fast Track,partially or indirectly represented,GTFS/transit schedule,original-input-data/mvv_gtfs_2037/generated/gtfs2037_munich_clean.zip,"The forecast timetable may depend on the junction but no physical railway junction or isolated travel-time effect is represented.",Establish whether any timetable effect is uniquely attributable; otherwise retain as an enabling assumption.,An operational study linking the structure to specific routes frequencies or running times is required.,Document source-to-timetable traceability; no standalone network test is meaningful in the PT pseudonetwork.,none,low
18,XLSX_ROW_18,Sendlinger Spange,BAU and Fast Track,partially or indirectly represented,documentation only,original-input-data/mvv_gtfs_2037/common_service_specification.csv,"Excel row 18 specifies no published regular-weekday change; existing S20 and other GTFS services remain byte-for-byte unchanged.",Retain as an indirect enabling/resilience measure with no separate GTFS modification.,Disruption rerouting and operational stability cannot be inferred or represented in the normal-day timetable simulation.,Assert no Sendlinger-Spange-specific rows are generated and document the excluded disruption mechanism.,none,complete
19,XLSX_ROW_19,Berduxstraße S-Bahn station,BAU and Fast Track,implemented and tested,GTFS/transit schedule,original-input-data/mvv_gtfs_2037/common_service_specification.csv,"Dedicated S-Bahn platforms are inserted in 203 regular S2 trips; express routes and incomplete patterns are excluded.",Retain and include in the later scenario smoke test.,"Excel row 19 supplies the S2 rule; parent 162054 is an explicit scenario-assumption coordinate proxy; 9079 positive current-GTFS observations support 60 seconds dwell; no separate braking penalty is identifiable.",Rebuild both feeds; validate complete regular calling pattern exact affected-trip counts references monotone times MATSim read-back and routed accessibility.,none,complete
